key,scroll,wrap,area_cm2,verdict,mean_range,median_range,flat_frac,tiles,pct
PHerc0211__z9120_w100,PHerc0211,w100,9.37,reprova,43.386626686900854,37.70907402038574,0.20833333333333334,24,0.8722222222222222
PHerc0211__z7312_w020,PHerc0211,w020,1.97,,41.832655906677246,39.7166748046875,0.0,24,0.861111111111111
PHerc0211__z9712_w020,PHerc0211,w020,2.07,,41.72972393035889,41.33735275268555,0.0,24,0.85
PHerc0211__z9712_w080,PHerc0211,w080,9.35,,40.74732542037964,36.31129455566406,0.0,24,0.8388888888888889
PHerc0211__z9712_w100,PHerc0211,w100,9.57,,40.12527511268854,37.031734466552734,0.08333333333333333,24,0.8277777777777777
PHerc0211__z6720_w020,PHerc0211,w020,1.96,aprova,39.946353594462074,38.15489959716797,0.0,24,0.8166666666666667
PHerc0211__z13920_w020,PHerc0211,w020,1.64,aprova,38.91896057128906,38.33555221557617,0.0,24,0.8055555555555556
PHerc0211__z6112_w020,PHerc0211,w020,1.95,aprova,38.59455076853434,37.994476318359375,0.0,24,0.7944444444444444
PHerc0211__z5520_w020,PHerc0211,w020,1.87,aprova,38.32867685953776,38.6879997253418,0.0,24,0.7833333333333333
PHerc0211__z6720_w080,PHerc0211,w080,8.65,,37.017857233683266,29.427978515625,0.0,24,0.7722222222222223
PHerc0211__z7920_w040,PHerc0211,w040,3.9,,36.70279852549235,36.14142608642578,0.0,24,0.7611111111111111
PHerc0211__z9120_w020,PHerc0211,w020,2.09,aprova,35.47093931833903,35.901493072509766,0.0,24,0.75
PHerc0211__z11520_w020,PHerc0211,w020,1.97,aprova,35.33885224660238,36.01674270629883,0.0,24,0.7388888888888888
PHerc0211__z6112_w080,PHerc0211,w080,8.72,parcial,34.57042916615804,28.017715454101562,0.0,24,0.7277777777777777
PHerc0211__z10320_w020,PHerc0211,w020,2.25,aprova,33.75464725494385,34.56334686279297,0.0,24,0.7166666666666667
PHerc0211__z12720_w100,PHerc0211,w100,10.53,,33.54545005162557,27.774765014648438,0.0,24,0.7055555555555555
PHerc0211__z14512_w020,PHerc0211,w020,1.7,parcial,32.417938550313316,31.897850036621094,0.0,24,0.6944444444444444
PHerc0211__z10912_w020,PHerc0211,w020,2.2,reprova,31.82686932881673,29.629188537597656,0.0,24,0.6833333333333333
PHerc0211__z13312_w020,PHerc0211,w020,1.84,reprova,31.780033111572266,30.74410629272461,0.0,24,0.6722222222222222
PHerc0211__z4912_w020,PHerc0211,w020,2.01,aprova,31.585015932718914,28.19573211669922,0.0,24,0.6611111111111111
PHerc0211__z9120_w080,PHerc0211,w080,8.78,,31.385040918986004,29.868144989013672,0.0,24,0.65
PHerc0211__z7312_w040,PHerc0211,w040,4.1,,30.792980829874676,28.823070526123047,0.0,24,0.6388888888888888
PHerc0211__z12112_w020,PHerc0211,w020,1.67,reprova,30.766953150431316,28.594650268554688,0.0,24,0.6277777777777778
PHerc0211__z9120_w040,PHerc0211,w040,4.16,,29.72277545928955,29.694503784179688,0.0,24,0.6166666666666667
PHerc0211__z6720_w040,PHerc0211,w040,4.17,,28.77143669128418,29.1766357421875,0.0,24,0.6055555555555555
PHerc0211__z12720_w020,PHerc0211,w020,2.19,reprova,28.63518190383911,27.93218994140625,0.0,24,0.5944444444444444
PHerc0211__z10320_w040,PHerc0211,w040,4.58,,28.153806686401367,27.362335205078125,0.0,24,0.5833333333333333
PHerc0211__z6112_w040,PHerc0211,w040,4.1,,27.896096229553223,27.144126892089844,0.0,24,0.5722222222222222
PHerc0211__z13920_w100,PHerc0211,w100,9.65,,27.788634936014812,23.83578109741211,0.0,24,0.5611111111111111
PHerc0211__z12112_w100,PHerc0211,w100,9.31,,27.56114387512207,24.460765838623047,0.0,24,0.5499999999999999
PHerc0211__z3712_w100,PHerc0211,w100,8.61,,27.21290683746338,21.046939849853516,0.0,24,0.5388888888888889
PHerc0211__z7920_w080,PHerc0211,w080,8.31,,27.18519941965739,23.354122161865234,0.0,24,0.5277777777777778
PHerc0211__z5520_w040,PHerc0211,w040,3.99,,26.546536445617676,26.39295196533203,0.0,24,0.5166666666666666
PHerc0211__z4320_w040,PHerc0211,w040,3.89,,26.542668342590332,26.92660903930664,0.0,24,0.5055555555555555
PHerc0211__z10912_w040,PHerc0211,w040,4.26,,26.481345812479656,24.440799713134766,0.0,24,0.4944444444444444
PHerc0211__z14512_w040,PHerc0211,w040,3.69,,26.326060612996418,22.65650177001953,0.0,24,0.48333333333333334
PHerc0211__z13312_w040,PHerc0211,w040,3.8,,26.21865240732829,26.298542022705078,0.0,24,0.4722222222222222
PHerc0211__z4912_w040,PHerc0211,w040,4.1,,25.97706127166748,23.352073669433594,0.0,24,0.4611111111111111
PHerc0211__z13920_w040,PHerc0211,w040,3.75,,25.911490440368652,22.82529067993164,0.0,24,0.44999999999999996
PHerc0211__z14512_w100,PHerc0211,w100,9.36,parcial,24.862884839375813,20.493629455566406,0.0,24,0.4388888888888889
PHerc0211__z12112_w040,PHerc0211,w040,3.8,,24.854697227478027,23.88582992553711,0.0,24,0.42777777777777776
PHerc0211__z7920_w060,PHerc0211,w060,6.23,,24.731475512186687,23.795608520507812,0.0,24,0.41666666666666663
PHerc0211__z4320_w020,PHerc0211,w020,1.9,reprova,24.53926118214925,23.653663635253906,0.0,24,0.40555555555555556
PHerc0211__z13312_w060,PHerc0211,w060,5.9,,24.535539944966633,22.810955047607422,0.0,24,0.39444444444444443
PHerc0211__z10320_w080,PHerc0211,w080,8.65,,24.344270706176758,22.408924102783203,0.0,24,0.3833333333333333
PHerc0211__z10320_w060,PHerc0211,w060,6.57,,24.32414786020915,24.833805084228516,0.0,24,0.3722222222222222
PHerc0211__z11520_w100,PHerc0211,w100,9.47,,24.320337613423664,20.990333557128906,0.0,24,0.3611111111111111
PHerc0211__z9712_w040,PHerc0211,w040,4.41,,24.145928064982098,24.319210052490234,0.0,24,0.35
PHerc0211__z12720_w040,PHerc0211,w040,4.07,,23.55030409495036,24.190006256103516,0.0,24,0.33888888888888885
PHerc0211__z4912_w080,PHerc0211,w080,8.46,reprova,23.40591843922933,23.83736801147461,0.0,24,0.3277777777777778
PHerc0211__z14512_w080,PHerc0211,w080,7.75,parcial,23.306352297465008,22.98614501953125,0.0,24,0.31666666666666665
